04/01/2019 14:14:07 INFO seatInServer.SeatInServer--> Server started: ServerSocket[addr=0.0.0.0/0.0.0.0,localport=8080]
04/01/2019 14:20:53 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=52993,localport=8080]

04/01/2019 14:39:16 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=52995,localport=8080]

04/01/2019 14:40:32 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=52996,localport=8080]

04/01/2019 14:45:21 INFO seatInServer.SeatInServer--> Server started: ServerSocket[addr=0.0.0.0/0.0.0.0,localport=8080]
04/01/2019 14:45:28 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49691,localport=8080]

04/01/2019 14:46:01 INFO seatInServer.Controllers.AdminController--> Chiusura connessione cliente! Socket[addr=/127.0.0.1,port=49691,localport=8080]
04/01/2019 14:47:42 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49697,localport=8080]

04/01/2019 14:47:56 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49698,localport=8080]

04/01/2019 14:48:30 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49699,localport=8080]

04/01/2019 14:49:56 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49701,localport=8080]

04/01/2019 14:50:39 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49702,localport=8080]

04/01/2019 14:51:50 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49703,localport=8080]

04/01/2019 14:52:18 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49704,localport=8080]

04/01/2019 14:52:47 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49705,localport=8080]

04/01/2019 14:57:35 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49706,localport=8080]

04/01/2019 14:59:12 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49707,localport=8080]

04/01/2019 14:59:27 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49708,localport=8080]

04/01/2019 15:00:08 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49709,localport=8080]

04/01/2019 15:04:07 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49710,localport=8080]

04/01/2019 15:10:45 INFO seatInServer.SeatInServer--> Connesione del cliente: Socket[addr=/127.0.0.1,port=49711,localport=8080]

